linha,coluna,valor,motivo
221,data_emissao_recebimento,,Data inválida — ignorada
222,vencimento,15 DFM,Data inválida — ignorada
223,vencimento,15 DFM,Data inválida — ignorada
224,vencimento,15 DFM,Data inválida — ignorada
225,vencimento,15 DFM,Data inválida — ignorada
225,data_emissao_recebimento,,Data inválida — ignorada
226,data_emissao_recebimento,,Data inválida — ignorada
227,data_emissao_recebimento,,Data inválida — ignorada
228,data_emissao_recebimento,,Data inválida — ignorada
229,data_emissao_recebimento,,Data inválida — ignorada
230,data_final_veiculacao,99/99/9999,Data inválida — ignorada
230,data_emissao_recebimento,,Data inválida — ignorada
230,data_inicial_veiculacao,99/99/9999,Data inválida — ignorada
231,data_final_veiculacao,99/99/9999,Data inválida — ignorada
231,vencimento,Permuta,Data inválida — ignorada
231,data_emissao_recebimento,,Data inválida — ignorada
231,data_inicial_veiculacao,99/99/9999,Data inválida — ignorada
232,vencimento,15 DFM,Data inválida — ignorada
232,data_emissao_recebimento,,Data inválida — ignorada
233,vencimento,15 DFM,Data inválida — ignorada
233,data_emissao_recebimento,,Data inválida — ignorada
234,data_emissao_recebimento,,Data inválida — ignorada
235,data_emissao_recebimento,,Data inválida — ignorada
236,data_emissao_recebimento,,Data inválida — ignorada
237,vencimento,Degustação,Data inválida — ignorada
237,data_emissao_recebimento,,Data inválida — ignorada
238,data_emissao_recebimento,,Data inválida — ignorada
239,vencimento,C/APRES,Data inválida — ignorada
239,data_emissao_recebimento,,Data inválida — ignorada
240,data_emissao_recebimento,,Data inválida — ignorada
241,vencimento,C/APRES,Data inválida — ignorada
241,data_emissao_recebimento,,Data inválida — ignorada
242,vencimento,C/APRES,Data inválida — ignorada
242,data_emissao_recebimento,,Data inválida — ignorada
243,vencimento,C/APRES,Data inválida — ignorada
243,data_emissao_recebimento,,Data inválida — ignorada
244,vencimento,C/APRES,Data inválida — ignorada
244,data_emissao_recebimento,,Data inválida — ignorada
245,vencimento,C/APRES,Data inválida — ignorada
245,data_emissao_recebimento,,Data inválida — ignorada
246,vencimento,Bonificado,Data inválida — ignorada
